distance_unit,v_ratio_to_c_ref,v_eff_m_per_s,amp_ratio,intensity_ratio
0.0,1.0,299792458.0,1.0,1.0
2.0,1.0,299792458.0,0.8521437889662113,0.7261490370736909
4.0,1.0,299792458.0,0.7261490370736909,0.5272924240430485
6.0,1.0,299792458.0,0.6187833918061408,0.38289288597511206
8.0,1.0,299792458.0,0.5272924240430485,0.27803730045319414
10.0,1.0,299792458.0,0.44932896411722156,0.20189651799465538
12.0,1.0,299792458.0,0.38289288597511206,0.14660696213035015
14.0,1.0,299792458.0,0.32627979462303947,0.1064585043792528
16.0,1.0,299792458.0,0.27803730045319414,0.07730474044329974
18.0,1.0,299792458.0,0.23692775868212176,0.056134762834133725
20.0,1.0,299792458.0,0.20189651799465538,0.04076220397836621
22.0,1.0,299792458.0,0.17204486382305054,0.029599435167892
24.0,1.0,299792458.0,0.14660696213035015,0.021493601345089923
26.0,1.0,299792458.0,0.12493021219858241,0.01560755791998283
28.0,1.0,299792458.0,0.1064585043792528,0.011333413154667387
30.0,1.0,299792458.0,0.09071795328941251,0.00822974704902003
32.0,1.0,299792458.0,0.07730474044329974,0.005976022895005943
34.0,1.0,299792458.0,0.06587475442640295,0.004339483270738895
36.0,1.0,299792458.0,0.056134762834133725,0.0031511115984444414
38.0,1.0,299792458.0,0.04783488949419837,0.0022881766529221693
40.0,1.0,299792458.0,0.04076220397836621,0.001661557273173934
42.0,1.0,299792458.0,0.03473525894473856,0.0012065382139580404
44.0,1.0,299792458.0,0.029599435167892,0.0008761265622582417
46.0,1.0,299792458.0,0.025222974835227212,0.0006361984595385052
48.0,1.0,299792458.0,0.021493601345089923,0.0004619748987816513
50.0,1.0,299792458.0,0.01831563888873418,0.00033546262790251185
