case,distance_unit_to_m,eta_max,w_eta_target,n_mae,eta_mean,eta_sat_ratio,mu_mean,rho_mean
case_028,1e-06,0.3,0.05,8.881784197001253e-17,0.24075000000000002,0.0,434.7167922703,2.35
case_031,1e-06,1.0,0.05,8.881784197001253e-17,0.2975,0.0,434.7167922703,2.35
case_032,1e-06,1.0,0.2,8.881784197001253e-17,0.47000000000000003,0.0,434.7167922703,2.35
case_034,1e-06,2.0,0.05,8.881784197001253e-17,0.29500000000000004,0.0,434.7167922703,2.35
case_035,1e-06,2.0,0.2,8.881784197001253e-17,0.48999999999999994,0.0,434.7167922703,2.35
case_036,1e-06,2.0,1.0,8.881784197001253e-17,0.5800000000000001,0.0,434.7167922703,2.35
case_029,1e-06,0.3,0.2,8.881784197001253e-17,0.23700000000000002,0.2,434.7167922703,2.35
case_033,1e-06,1.0,1.0,8.881784197001253e-17,0.4925,0.2,434.7167922703,2.35
case_030,1e-06,0.3,1.0,8.881784197001253e-17,0.20475,0.4,434.7167922703,2.35
case_022,0.0001,1.0,0.05,8.881784197001253e-17,0.9974999999999999,0.8,434.7167922703,2.35
case_023,0.0001,1.0,0.2,8.881784197001253e-17,0.9925,0.8,434.7167922703,2.35
case_024,0.0001,1.0,1.0,8.881784197001253e-17,0.975,0.8,434.7167922703,2.35
case_025,0.0001,2.0,0.05,8.881784197001253e-17,1.9949999999999999,0.8,434.7167922703,2.35
case_026,0.0001,2.0,0.2,8.881784197001253e-17,1.975,0.8,434.7167922703,2.35
case_027,0.0001,2.0,1.0,8.881784197001253e-17,1.9100000000000001,0.8,434.7167922703,2.35
case_001,1.0,0.3,0.05,8.881784197001253e-17,0.3,1.0,434.7167922703,2.35
case_002,1.0,0.3,0.2,8.881784197001253e-17,0.3,1.0,434.7167922703,2.35
case_003,1.0,0.3,1.0,8.881784197001253e-17,0.3,1.0,434.7167922703,2.35
case_004,1.0,1.0,0.05,8.881784197001253e-17,1.0,1.0,434.7167922703,2.35
case_005,1.0,1.0,0.2,8.881784197001253e-17,1.0,1.0,434.7167922703,2.35
case_006,1.0,1.0,1.0,8.881784197001253e-17,1.0,1.0,434.7167922703,2.35
case_007,1.0,2.0,0.05,8.881784197001253e-17,2.0,1.0,434.7167922703,2.35
case_008,1.0,2.0,0.2,8.881784197001253e-17,2.0,1.0,434.7167922703,2.35
case_009,1.0,2.0,1.0,8.881784197001253e-17,2.0,1.0,434.7167922703,2.35
case_010,0.01,0.3,0.05,8.881784197001253e-17,0.3,1.0,434.7167922703,2.35
case_011,0.01,0.3,0.2,8.881784197001253e-17,0.3,1.0,434.7167922703,2.35
case_012,0.01,0.3,1.0,8.881784197001253e-17,0.3,1.0,434.7167922703,2.35
case_013,0.01,1.0,0.05,8.881784197001253e-17,1.0,1.0,434.7167922703,2.35
case_014,0.01,1.0,0.2,8.881784197001253e-17,1.0,1.0,434.7167922703,2.35
case_015,0.01,1.0,1.0,8.881784197001253e-17,1.0,1.0,434.7167922703,2.35
case_016,0.01,2.0,0.05,8.881784197001253e-17,2.0,1.0,434.7167922703,2.35
case_017,0.01,2.0,0.2,8.881784197001253e-17,2.0,1.0,434.7167922703,2.35
case_018,0.01,2.0,1.0,8.881784197001253e-17,2.0,1.0,434.7167922703,2.35
case_019,0.0001,0.3,0.05,8.881784197001253e-17,0.3,1.0,434.7167922703,2.35
case_020,0.0001,0.3,0.2,8.881784197001253e-17,0.3,1.0,434.7167922703,2.35
case_021,0.0001,0.3,1.0,8.881784197001253e-17,0.3,1.0,434.7167922703,2.35
