material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,material_tilt,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,3.8483331203460693,3.676666498184204,0.9650972485542297,1.4482303857803345,-0.429494172334671,4.675654888153076,-0.024344921112060547
si,550.0,4.3,0.055,0.6283185307179585,3.8483331203460693,3.676666498184204,0.7539822459220886,1.4482303857803345,-0.429494172334671,4.264224052429199,-0.03577613830566406
si,650.0,3.88,0.02,0.1933287786824488,3.8483331203460693,3.676666498184204,0.5428671836853027,1.4482303857803345,-0.429494172334671,3.957019805908203,0.07701969146728516
si,850.0,3.68,0.006,0.044351896285973545,3.8483331203460693,3.676666498184204,0.4222300350666046,1.4482303857803345,-0.429494172334671,3.6968789100646973,0.016878843307495117
si,1000.0,3.57,0.001,0.006283185307179586,3.8483331203460693,3.676666498184204,0.36191147565841675,1.4482303857803345,-0.429494172334671,3.536221981048584,-0.03377795219421387
sio2,404.7,1.4696,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.465694546699524,-0.0039054155349731445
sio2,435.8,1.4667,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.4650322198867798,-0.0016677379608154297
sio2,486.1,1.4631,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.4647661447525024,0.0016661882400512695
sio2,546.1,1.4601,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.465749740600586,0.005649685859680176
sio2,589.3,1.4585,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.467334508895874,0.008834481239318848
sio2,632.8,1.457,0.0,0.0,2.5216665267944336,2.683333158493042,0.0,-0.4842025637626648,0.01539536565542221,1.4507137537002563,-0.006286263465881348
sio2,656.3,1.4565,0.0,0.0,2.5216665267944336,2.683333158493042,0.0,-0.4842025637626648,0.01539536565542221,1.4522091150283813,-0.004290938377380371
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,2.5216665267944336,2.931666612625122,0.03333333507180214,-0.45084133744239807,0.0315219946205616,1.4961087703704834,-0.0038912296295166016
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,2.5216665267944336,2.931666612625122,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.4971654415130615,0.0021654367446899414
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,2.5216665267944336,2.931666612625122,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.4995338916778564,0.007533907890319824
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,2.5216665267944336,2.683333158493042,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.4840009212493896,-0.005999088287353516
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,2.5216665267944336,2.683333158493042,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.48819100856781,0.00019097328186035156
gaas,450.0,4.42,1.9,2.5,2.5216665267944336,2.931666612625122,2.3333332538604736,-0.38687053322792053,2.110955238342285,4.356935977935791,-0.0630640983581543
gaas,500.0,4.18,1.45,2.5,2.5216665267944336,2.931666612625122,2.2083332538604736,-0.38687053322792053,2.110955238342285,4.167563438415527,-0.012436389923095703
gaas,550.0,3.95,1.08,2.5,2.5216665267944336,2.931666612625122,2.0833332538604736,-0.38687053322792053,2.110955238342285,3.988957405090332,0.03895735740661621
gaas,600.0,3.78,0.74,2.5,2.5216665267944336,2.931666612625122,2.0,-0.38687053322792053,2.110955238342285,3.843017578125,0.06301760673522949
gaas,650.0,3.66,0.47,2.5,2.5216665267944336,2.931666612625122,1.9166666269302368,-0.38687053322792053,2.110955238342285,3.685594320297241,0.025594234466552734
gaas,700.0,3.58,0.28,2.5,2.8533332347869873,3.179999828338623,1.7916666269302368,-0.38687053322792053,2.110955238342285,3.5765833854675293,-0.0034165382385253906
gaas,800.0,3.5,0.12,0.9424777960769378,3.184999942779541,3.428333282470703,1.5416666269302368,-0.38687053322792053,2.110955238342285,3.4509801864624023,-0.049019813537597656
gaas,900.0,3.45,0.06,0.418879020478639,3.184999942779541,3.428333282470703,1.375,-0.38687053322792053,2.110955238342285,3.4503679275512695,0.00036787986755371094
air,450.0,1.00028,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.6902539134025574,-2.7537304049474187e-05,1.0008697509765625,0.0005897283554077148
air,550.0,1.00027,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.6902539134025574,-2.7537304049474187e-05,0.9990906119346619,-0.0011793971061706543
air,650.0,1.00027,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.6902539134025574,-2.7537304049474187e-05,1.0008597373962402,0.0005897283554077148
water,450.0,1.34,0.0,0.0,2.18999981880188,2.683333158493042,0.0,-0.5244559645652771,-0.024750173091888428,1.340091347694397,9.131431579589844e-05
water,550.0,1.334,0.0,0.0,2.18999981880188,2.683333158493042,0.0,-0.5244559645652771,-0.024750173091888428,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,2.18999981880188,2.683333158493042,0.0,-0.5244559645652771,-0.024750173091888428,1.331091284751892,9.131431579589844e-05
metalx,420.0,1.45,0.12,1.7951958020513101,0.53166663646698,2.931666612625122,2.006666660308838,-1.8661258220672607,-0.5120112895965576,1.2538386583328247,-0.1961613893508911
metalx,500.0,1.62,0.55,2.8,0.20000000298023224,2.931666612625122,2.006666660308838,-1.8661258220672607,-0.5120112895965576,1.7126437425613403,0.09264373779296875
metalx,580.0,1.88,1.05,2.8,0.20000000298023224,2.931666612625122,2.006666660308838,-1.8661258220672607,-0.5120112895965576,1.985072374343872,0.10507237911224365
metalx,660.0,2.12,1.55,2.8,0.20000000298023224,2.931666612625122,2.053333282470703,-1.8661258220672607,-0.5120112895965576,2.202354669570923,0.08235478401184082
metalx,740.0,2.35,2.05,2.8,0.20000000298023224,2.931666612625122,2.0999999046325684,-1.8661258220672607,-0.5120112895965576,2.3744301795959473,0.024430274963378906
metalx,820.0,2.52,2.45,2.8,0.20000000298023224,2.931666612625122,2.1466665267944336,-1.8661258220672607,-0.5120112895965576,2.4963605403900146,-0.023639440536499023
metalx,920.0,2.68,2.85,2.8,0.20000000298023224,2.931666612625122,2.193333148956299,-1.8661258220672607,-0.5120112895965576,2.59529972076416,-0.08470034599304199
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,2.18999981880188,2.683333158493042,0.03333333507180214,-0.8274999260902405,0.08624502271413803,1.0086778402328491,-0.01132214069366455
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,2.18999981880188,2.683333158493042,0.03333333507180214,-0.8274999260902405,0.08624502271413803,1.0142594575881958,-0.0007405281066894531
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,2.18999981880188,2.683333158493042,0.01666666753590107,-0.8274999260902405,0.08624502271413803,1.0205799341201782,0.00857996940612793
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,2.18999981880188,2.434999942779541,0.01666666753590107,-0.8274999260902405,0.08624502271413803,1.0127391815185547,0.0027391910552978516
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,2.18999981880188,2.434999942779541,0.01666666753590107,-0.8274999260902405,0.08624502271413803,1.028464674949646,0.020464658737182617
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,1.8583333492279053,2.434999942779541,0.0,-0.8274999260902405,0.08624502271413803,0.9782643914222717,-0.027735650539398193
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,1.8583333492279053,2.434999942779541,0.0,-0.8274999260902405,0.08624502271413803,1.0130144357681274,0.008014440536499023
highnlowk,430.0,3.9,0.0009,0.013150852968515411,4.179999828338623,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.8319191932678223,-0.06808090209960938
highnlowk,500.0,3.75,0.0007,0.00879645943005142,4.179999828338623,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.7546579837799072,0.0046579837799072266
highnlowk,580.0,3.6,0.0005,0.005416539057913436,3.8483331203460693,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.6132235527038574,0.013223648071289062
highnlowk,660.0,3.48,0.00038,0.003617591540497337,3.8483331203460693,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.5295357704162598,0.04953575134277344
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,3.8483331203460693,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.4281461238861084,0.04814600944519043
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,3.8483331203460693,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.311260461807251,0.011260509490966797
highnlowk,1020.0,3.24,0.00013,0.0008007981273856334,3.8483331203460693,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.181257486343384,-0.058742523193359375
midkcurve,410.0,2.4,0.42,2.0,1.8583333492279053,2.683333158493042,1.7666666507720947,-0.9322540760040283,1.2836027145385742,2.342349052429199,-0.05765104293823242
midkcurve,470.0,2.33,0.36,2.0,1.8583333492279053,2.683333158493042,1.7000000476837158,-0.9322540760040283,1.2836027145385742,2.331545829772949,0.0015459060668945312
midkcurve,530.0,2.29,0.31,2.0,1.8583333492279053,2.683333158493042,1.6333333253860474,-0.9322540760040283,1.2836027145385742,2.3293159008026123,0.03931593894958496
midkcurve,610.0,2.26,0.24,2.0,1.8583333492279053,2.683333158493042,1.5333333015441895,-0.9322540760040283,1.2836027145385742,2.3056342601776123,0.04563426971435547
midkcurve,690.0,2.3,0.19,1.7301524758900306,1.8583333492279053,2.683333158493042,1.4333332777023315,-0.9322540760040283,1.2836027145385742,2.304807186126709,0.004807233810424805
midkcurve,790.0,2.38,0.14,1.1134758772216988,2.18999981880188,2.683333158493042,1.2666666507720947,-0.9322540760040283,1.2836027145385742,2.3655455112457275,-0.01445460319519043
midkcurve,920.0,2.5,0.1,0.6829549246934332,2.18999981880188,2.683333158493042,1.1666666269302368,-0.9322540760040283,1.2836027145385742,2.480802536010742,-0.019197463989257812
