material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,6.501666069030762,4.918333053588867,1.658760905265808,0.14591827988624573,4.7329421043396,0.03294229507446289
si,550.0,4.3,0.055,0.6283185307179585,6.501666069030762,5.166666030883789,1.4778051376342773,0.14591827988624573,4.283114910125732,-0.01688528060913086
si,650.0,3.88,0.02,0.1933287786824488,6.501666069030762,5.166666030883789,1.2365307807922363,0.14591827988624573,3.891841173171997,0.011841058731079102
si,850.0,3.68,0.006,0.044351896285973545,6.8333330154418945,5.414999485015869,1.0555751323699951,0.14591827988624573,3.690197229385376,0.010197162628173828
si,1000.0,3.57,0.001,0.006283185307179586,6.8333330154418945,5.414999485015869,0.9349379539489746,0.14591827988624573,3.531905174255371,-0.03809475898742676
sio2,404.7,1.4696,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4637681245803833,-0.0058318376541137695
sio2,435.8,1.4667,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4623594284057617,-0.004340529441833496
sio2,486.1,1.4631,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4608179330825806,-0.0022820234298706055
sio2,546.1,1.4601,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4601701498031616,7.009506225585938e-05
sio2,589.3,1.4585,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4605059623718262,0.002005934715270996
sio2,632.8,1.457,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4615228176116943,0.004522800445556641
sio2,656.3,1.4565,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4623554944992065,0.005855441093444824
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.1949999332427979,2.683333158493042,0.03333333507180214,-0.029671240597963333,1.494115948677063,-0.005884051322937012
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.1949999332427979,2.683333158493042,0.03333333507180214,-0.029671240597963333,1.4927691221237183,-0.0022308826446533203
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.029671240597963333,1.491974115371704,-2.586841583251953e-05
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.029671240597963333,1.492408275604248,0.002408266067504883
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.029671240597963333,1.4937328100204468,0.00573277473449707
gaas,450.0,4.42,1.9,2.0,2.8533332347869873,2.931666612625122,1.5999999046325684,0.005687743425369263,4.41326379776001,-0.006736278533935547
gaas,500.0,4.18,1.45,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,0.005687743425369263,4.240428924560547,0.06042909622192383
gaas,550.0,3.95,1.08,2.0,2.8533332347869873,2.931666612625122,1.5,0.005687743425369263,4.024209499359131,0.07420945167541504
gaas,600.0,3.78,0.74,2.0,2.8533332347869873,2.931666612625122,1.5,0.005687743425369263,3.871051549911499,0.09105157852172852
gaas,650.0,3.66,0.47,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,0.005687743425369263,3.7325220108032227,0.07252192497253418
gaas,700.0,3.58,0.28,2.0,3.184999942779541,3.179999828338623,1.5333333015441895,0.005687743425369263,3.623516798019409,0.04351687431335449
gaas,800.0,3.5,0.12,0.9424777960769378,3.5166666507720947,3.428333282470703,1.5,0.005687743425369263,3.3857922554016113,-0.11420774459838867
gaas,900.0,3.45,0.06,0.418879020478639,3.8483331203460693,3.428333282470703,1.5,0.005687743425369263,3.229214906692505,-0.22078514099121094
air,450.0,1.00028,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.000584721565246582
air,550.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,0.9990906119346619,-0.0011793971061706543
air,650.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.0005947351455688477
water,450.0,1.34,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,-0.004408717155456543
water,550.0,1.334,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,0.00459134578704834
metalx,420.0,2.25,0.12,1.7951958020513101,0.8633332848548889,2.683333158493042,1.0333333015441895,-0.1346350461244583,2.0335469245910645,-0.21645307540893555
metalx,500.0,2.05,0.55,2.0,0.53166663646698,2.683333158493042,0.8666667342185974,-0.1346350461244583,2.0800328254699707,0.030032873153686523
metalx,580.0,1.88,1.05,2.0,0.20000000298023224,2.683333158493042,0.7333333492279053,-0.1346350461244583,1.87661874294281,-0.0033812522888183594
metalx,660.0,1.72,1.55,2.0,0.20000000298023224,2.683333158493042,0.6000000238418579,-0.1346350461244583,1.7765532732009888,0.05655324459075928
metalx,740.0,1.58,2.05,2.0,0.20000000298023224,2.683333158493042,0.46666669845581055,-0.1346350461244583,1.6366733312606812,0.056673288345336914
metalx,820.0,1.48,2.45,2.0,0.20000000298023224,2.683333158493042,0.36666667461395264,-0.1346350461244583,1.5170217752456665,0.037021756172180176
metalx,920.0,1.4,2.85,2.0,0.20000000298023224,2.683333158493042,0.30000001192092896,-0.1346350461244583,1.4395530223846436,0.039553046226501465
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04734808951616287,1.0108394622802734,-0.009160518646240234
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04734808951616287,1.0080779790878296,-0.006922006607055664
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04734808951616287,1.0059559345245361,-0.00604403018951416
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04734808951616287,1.0050876140594482,-0.004912376403808594
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04734808951616287,1.0064388513565063,-0.0015611648559570312
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,0.20000000298023224,2.434999942779541,0.0,-0.04734808951616287,1.0132055282592773,0.007205486297607422
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,0.20000000298023224,2.434999942779541,0.0,-0.04734808951616287,1.026394248008728,0.02139425277709961
highnlowk,430.0,3.9,0.0009,0.013150852968515411,7.164999485015869,5.911666393280029,0.21666668355464935,0.019918236881494522,3.639268159866333,-0.26073193550109863
highnlowk,500.0,3.75,0.0007,0.00879645943005142,6.8333330154418945,5.911666393280029,0.20000001788139343,0.019918236881494522,3.584907293319702,-0.16509270668029785
highnlowk,580.0,3.6,0.0005,0.005416539057913436,6.8333330154418945,5.911666393280029,0.1666666716337204,0.019918236881494522,3.574885606765747,-0.02511429786682129
highnlowk,660.0,3.48,0.00038,0.003617591540497337,6.501666069030762,5.663332939147949,0.13333334028720856,0.019918236881494522,3.504244565963745,0.02424454689025879
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,6.169999599456787,5.414999485015869,0.10000000894069672,0.019918236881494522,3.4373738765716553,0.057373762130737305
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,6.169999599456787,5.414999485015869,0.0833333358168602,0.019918236881494522,3.4452602863311768,0.14526033401489258
