material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,material_tilt,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,3.8483331203460693,3.676666498184204,1.1460529565811157,1.357710599899292,0.0,4.601802825927734,-0.09819698333740234
si,550.0,4.3,0.055,0.6283185307179585,3.8483331203460693,3.676666498184204,0.9047786593437195,1.357710599899292,0.0,4.200355052947998,-0.09964513778686523
si,650.0,3.88,0.02,0.1933287786824488,3.8483331203460693,3.676666498184204,0.6333450675010681,1.357710599899292,0.0,3.9050631523132324,0.025063037872314453
si,850.0,3.68,0.006,0.044351896285973545,3.8483331203460693,3.676666498184204,0.45238932967185974,1.357710599899292,0.0,3.7458107471466064,0.0658106803894043
si,1000.0,3.57,0.001,0.006283185307179586,3.8483331203460693,3.676666498184204,0.36191147565841675,1.357710599899292,0.0,3.6769680976867676,0.10696816444396973
sio2,404.7,1.4696,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.48449093103408813,0.0,1.4693922996520996,-0.00020766258239746094
sio2,435.8,1.4667,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.48449093103408813,0.0,1.467853307723999,0.0011533498764038086
sio2,486.1,1.4631,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.48449093103408813,0.0,1.4661691188812256,0.003069162368774414
sio2,546.1,1.4601,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.48449093103408813,0.0,1.4654614925384521,0.005361437797546387
sio2,589.3,1.4585,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.48449093103408813,0.0,1.4658284187316895,0.007328391075134277
sio2,632.8,1.457,0.0,0.0,2.5216665267944336,2.683333158493042,0.0,-0.48449093103408813,0.0,1.447981357574463,-0.009018659591674805
sio2,656.3,1.4565,0.0,0.0,2.5216665267944336,2.683333158493042,0.0,-0.48449093103408813,0.0,1.4488139152526855,-0.007686138153076172
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,2.5216665267944336,2.931666612625122,0.03333333507180214,-0.45084133744239807,0.0,1.5018399953842163,0.0018399953842163086
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,2.5216665267944336,2.931666612625122,0.01666666753590107,-0.45084133744239807,0.0,1.5000311136245728,0.005031108856201172
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,2.5216665267944336,2.931666612625122,0.01666666753590107,-0.45084133744239807,0.0,1.4995338916778564,0.007533907890319824
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,2.5216665267944336,2.683333158493042,0.01666666753590107,-0.45084133744239807,0.0,1.4811352491378784,-0.008864760398864746
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,2.5216665267944336,2.683333158493042,0.01666666753590107,-0.45084133744239807,0.0,1.4824597835540771,-0.005540251731872559
gaas,450.0,4.42,1.9,2.5,2.5216665267944336,2.931666612625122,1.8333332538604736,-0.18787768483161926,0.0,4.486480712890625,0.06648063659667969
gaas,500.0,4.18,1.45,2.5,2.5216665267944336,2.931666612625122,1.7916666269302368,-0.18787768483161926,0.0,4.2851457595825195,0.10514593124389648
gaas,550.0,3.95,1.08,2.5,2.5216665267944336,2.931666612625122,1.75,-0.18787768483161926,0.0,4.083681106567383,0.133681058883667
gaas,600.0,3.78,0.74,2.5,2.5216665267944336,2.931666612625122,1.75,-0.18787768483161926,0.0,3.9065704345703125,0.126570463180542
gaas,650.0,3.66,0.47,2.5,2.5216665267944336,2.931666612625122,1.7916666269302368,-0.18787768483161926,0.0,3.749467134475708,0.08946704864501953
gaas,700.0,3.58,0.28,2.5,2.8533332347869873,3.179999828338623,1.7916666269302368,-0.18787768483161926,0.0,3.6131951808929443,0.03319525718688965
gaas,800.0,3.5,0.12,0.9424777960769378,3.184999942779541,3.428333282470703,1.7083332538604736,-0.18787768483161926,0.0,3.2919483184814453,-0.2080516815185547
gaas,900.0,3.45,0.06,0.418879020478639,3.5166666507720947,3.676666498184204,1.6666666269302368,-0.18787768483161926,0.0,3.1035115718841553,-0.34648847579956055
air,450.0,1.00028,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.6902539134025574,0.0,1.0008647441864014,0.000584721565246582
air,550.0,1.00027,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.6902539134025574,0.0,0.9990906119346619,-0.0011793971061706543
