material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,7.496665954589844,5.911666393280029,1.568282961845398,0.23481759428977966,4.781476974487305,0.08147716522216797
si,550.0,4.3,0.055,0.6283185307179585,7.496665954589844,5.911666393280029,1.2968494892120361,0.23481759428977966,4.270699501037598,-0.029300689697265625
si,650.0,3.88,0.02,0.1933287786824488,7.496665954589844,5.911666393280029,0.9952565431594849,0.23481759428977966,3.8875105381011963,0.00751042366027832
si,850.0,3.68,0.006,0.044351896285973545,7.496665954589844,5.911666393280029,0.7539822459220886,0.23481759428977966,3.6512370109558105,-0.0287630558013916
si,1000.0,3.57,0.001,0.006283185307179586,7.496665954589844,5.911666393280029,0.603185772895813,0.23481759428977966,3.5390756130218506,-0.030924320220947266
sio2,404.7,1.4696,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.025804026052355766,1.4637681245803833,-0.0058318376541137695
sio2,435.8,1.4667,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.025804026052355766,1.4623594284057617,-0.004340529441833496
sio2,486.1,1.4631,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.025804026052355766,1.4608179330825806,-0.0022820234298706055
sio2,546.1,1.4601,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.025804026052355766,1.4601701498031616,7.009506225585938e-05
sio2,589.3,1.4585,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.025804026052355766,1.4605059623718262,0.002005934715270996
sio2,632.8,1.457,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.025804026052355766,1.4615228176116943,0.004522800445556641
sio2,656.3,1.4565,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.025804026052355766,1.4623554944992065,0.005855441093444824
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.1949999332427979,2.683333158493042,0.03333333507180214,-0.036463379859924316,1.4941836595535278,-0.005816340446472168
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.036463379859924316,1.4924980401992798,-0.002501964569091797
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.036463379859924316,1.492041826248169,4.184246063232422e-05
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.036463379859924316,1.492475986480713,0.0024759769439697266
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.036463379859924316,1.4938005208969116,0.005800485610961914
gaas,450.0,4.42,1.9,2.0,2.8533332347869873,2.931666612625122,1.6333333253860474,0.01290944218635559,4.474383354187012,0.054383277893066406
gaas,500.0,4.18,1.45,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,0.01290944218635559,4.253616809844971,0.07361698150634766
gaas,550.0,3.95,1.08,2.0,2.8533332347869873,2.931666612625122,1.5,0.01290944218635559,4.037397384643555,0.08739733695983887
gaas,600.0,3.78,0.74,2.0,2.8533332347869873,2.931666612625122,1.5,0.01290944218635559,3.8842391967773438,0.10423922538757324
gaas,650.0,3.66,0.47,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,0.01290944218635559,3.7457096576690674,0.0857095718383789
gaas,700.0,3.58,0.28,2.0,2.8533332347869873,2.931666612625122,1.5999999046325684,0.01290944218635559,3.6171162128448486,0.037116289138793945
gaas,800.0,3.5,0.12,0.9424777960769378,3.184999942779541,3.179999828338623,1.5333333015441895,0.01290944218635559,3.3438637256622314,-0.15613627433776855
gaas,900.0,3.45,0.06,0.418879020478639,3.5166666507720947,3.179999828338623,1.5,0.01290944218635559,3.1636734008789062,-0.28632664680480957
