material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,5.838332653045654,4.669999599456787,1.7190794944763184,0.13242869079113007,4.737894535064697,0.03789472579956055
si,550.0,4.3,0.055,0.6283185307179585,6.169999599456787,4.669999599456787,1.5079643726348877,0.13242869079113007,4.279395580291748,-0.020604610443115234
si,650.0,3.88,0.02,0.1933287786824488,6.169999599456787,4.918333053588867,1.2365307807922363,0.13242869079113007,3.8923511505126953,0.012351036071777344
si,850.0,3.68,0.006,0.044351896285973545,6.501666069030762,5.166666030883789,1.0555751323699951,0.13242869079113007,3.69111967086792,0.011119604110717773
si,1000.0,3.57,0.001,0.006283185307179586,6.501666069030762,5.166666030883789,0.9047786593437195,0.13242869079113007,3.5292389392852783,-0.04076099395751953
sio2,404.7,1.4696,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.01745215430855751,1.4925258159637451,0.022925853729248047
sio2,435.8,1.4667,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.01745215430855751,1.4911171197891235,0.02441716194152832
sio2,486.1,1.4631,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.01745215430855751,1.4895756244659424,0.02647566795349121
sio2,546.1,1.4601,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.01745215430855751,1.4889278411865234,0.028827786445617676
sio2,589.3,1.4585,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.01745215430855751,1.489263653755188,0.030763626098632812
sio2,632.8,1.457,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745215430855751,1.3896287679672241,-0.06737124919891357
sio2,656.3,1.4565,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745215430855751,1.3904614448547363,-0.06603860855102539
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.5266666412353516,2.683333158493042,0.03333333507180214,-0.029535889625549316,1.4941836595535278,-0.005816340446472168
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.5266666412353516,2.683333158493042,0.01666666753590107,-0.029535889625549316,1.4924980401992798,-0.002501964569091797
