material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,5.175,4.173333333333334,1.8026714132251516,0.685717424294951,4.815441596077158,0.11544159607715798
si,550.0,4.3,0.055,0.6283185307179585,5.175,4.173333333333334,1.5447447170107318,0.685717424294951,4.266802677917639,-0.03319732208236115
si,650.0,3.88,0.02,0.1933287786824488,5.506666666666667,4.421666666666667,1.225072749854228,0.685717424294951,3.8994449064568855,0.01944490645688557
si,850.0,3.68,0.006,0.044351896285973545,5.506666666666667,4.421666666666667,0.9605263259163963,0.685717424294951,3.612391964801702,-0.06760803519829794
si,1000.0,3.57,0.001,0.006283185307179586,5.838333333333333,4.67,0.8535710797372278,0.685717424294951,3.535918854746615,-0.034081145253384904
sio2,404.7,1.4696,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.2862947773102692,1.4764754591894111,0.006875459189411126
sio2,435.8,1.4667,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.2862947773102692,1.4750668066814625,0.008366806681462613
sio2,486.1,1.4631,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.2862947773102692,1.4735253089098062,0.010425308909806086
sio2,546.1,1.4601,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.2862947773102692,1.4728774763540007,0.012777476354000727
sio2,589.3,1.4585,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.2862947773102692,1.4732133127509304,0.014713312750930463
sio2,632.8,1.457,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.2862947773102692,1.4742301669263367,0.01723016692633661
sio2,656.3,1.4565,0.0,0.0,1.5266666666666666,2.6833333333333336,0.0,-0.2862947773102692,1.3861114691880525,-0.0703885308119474
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.8583333333333334,2.6833333333333336,0.028356564820084133,-0.24179880454541255,1.511970127626932,0.011970127626931948
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.8583333333333334,2.6833333333333336,0.020690942366545072,-0.24179880454541255,1.5104676097016498,0.015467609701649732
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.8583333333333334,2.6833333333333336,0.013168712793699675,-0.24179880454541255,1.5098587955979057,0.017858795597905708
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.8583333333333334,2.6833333333333336,0.008189794999422694,-0.24179880454541255,1.5101921390141881,0.02019213901418815
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.5266666666666666,2.6833333333333336,0.005513067622708337,-0.24179880454541255,1.422511328059325,-0.06548867194067509
gaas,450.0,4.42,1.9,2.0,2.8533333333333335,2.931666666666667,1.6220238532643798,-0.003068047736981383,4.442793327086765,0.022793327086764847
gaas,500.0,4.18,1.45,2.0,2.8533333333333335,2.931666666666667,1.5727366104037652,-0.003068047736981383,4.246572460390613,0.06657246039061349
gaas,550.0,3.95,1.08,2.0,2.8533333333333335,2.931666666666667,1.5227851970434807,-0.003068047736981383,4.05139700533485,0.10139700533484941
gaas,600.0,3.78,0.74,2.0,2.8533333333333335,2.931666666666667,1.509987070568494,-0.003068047736981383,3.880809373088794,0.10080937308879401
gaas,650.0,3.66,0.47,2.0,2.8533333333333335,2.931666666666667,1.5274421516133756,-0.003068047736981383,3.7240142168798647,0.06401421687986453
gaas,700.0,3.58,0.28,2.0,3.185,3.18,1.5286478840230044,-0.003068047736981383,3.6168766503063496,0.03687665030634957
gaas,800.0,3.5,0.12,0.9424777960769378,3.516666666666667,3.4283333333333337,1.4806239397946812,-0.003068047736981383,3.36864219717199,-0.1313578028280098
gaas,900.0,3.45,0.06,0.418879020478639,3.848333333333333,3.4283333333333337,1.4396049158811057,-0.003068047736981383,3.1888947697407746,-0.2611052302592256
