material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,5.175,4.173333333333334,1.8095573684677206,0.6797947637377685,4.819746558824414,0.11974655882441354
si,550.0,4.3,0.055,0.6283185307179585,5.175,4.173333333333334,1.5381237631975624,0.6797947637377685,4.261373254054638,-0.038626745945362195
si,650.0,3.88,0.02,0.1933287786824488,5.506666666666667,4.421666666666667,1.2365308684529424,0.6797947637377685,3.9029703762191934,0.02297037621919351
si,850.0,3.68,0.006,0.044351896285973545,5.506666666666667,4.421666666666667,0.9650972631827843,0.6797947637377685,3.6121402040542256,-0.06785979594577451
si,1000.0,3.57,0.001,0.006283185307179586,5.838333333333333,4.67,0.8444601052849363,0.6797947637377685,3.5337696068475295,-0.03623039315247034
sio2,404.7,1.4696,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.4764754591894111,0.006875459189411126
sio2,435.8,1.4667,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.4750668066814625,0.008366806681462613
sio2,486.1,1.4631,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.4735253089098064,0.010425308909806308
sio2,546.1,1.4601,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.4728774763540007,0.012777476354000727
sio2,589.3,1.4585,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.4732133127509304,0.014713312750930463
sio2,632.8,1.457,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.474230166926337,0.017230166926336832
sio2,656.3,1.4565,0.0,0.0,1.5266666666666666,2.6833333333333336,0.0,-0.28629483957930063,1.3861114691880525,-0.0703885308119474
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.8583333333333334,2.6833333333333336,0.0,-0.24169064399796633,1.5117009819358287,0.011700981935828692
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.8583333333333334,2.6833333333333336,0.0,-0.24169064399796633,1.5103556522250525,0.015355652225052419
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.8583333333333334,2.6833333333333336,0.0,-0.24169064399796633,1.5099002354624609,0.01790023546246089
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.8583333333333334,2.6833333333333336,0.0,-0.24169064399796633,1.5103348119622644,0.020334811962264387
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.5266666666666666,2.6833333333333336,0.0,-0.24169064399796633,1.422708318414394,-0.06529168158560594
