material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,5.174999713897705,4.173333168029785,1.809557318687439,0.6797949075698853,4.819746494293213,0.11974668502807617
si,550.0,4.3,0.055,0.6283185307179585,5.174999713897705,4.173333168029785,1.5381237268447876,0.6797949075698853,4.261373043060303,-0.03862714767456055
si,650.0,3.88,0.02,0.1933287786824488,5.50666618347168,4.421666145324707,1.2365307807922363,0.6797949075698853,3.902970314025879,0.022970199584960938
si,850.0,3.68,0.006,0.044351896285973545,5.50666618347168,4.421666145324707,0.9650972485542297,0.6797949075698853,3.61214017868042,-0.06785988807678223
si,1000.0,3.57,0.001,0.006283185307179586,5.838332653045654,4.669999599456787,0.8444600701332092,0.6797949075698853,3.5337696075439453,-0.03623032569885254
sio2,404.7,1.4696,0.0,0.0,1.8583333492279053,2.683333158493042,0.0,-0.28629472851753235,1.4764755964279175,0.00687563419342041
sio2,435.8,1.4667,0.0,0.0,1.8583333492279053,2.683333158493042,0.0,-0.28629472851753235,1.4750667810440063,0.008366823196411133
sio2,486.1,1.4631,0.0,0.0,1.8583333492279053,2.683333158493042,0.0,-0.28629472851753235,1.4735254049301147,0.010425448417663574
sio2,546.1,1.4601,0.0,0.0,1.8583333492279053,2.683333158493042,0.0,-0.28629472851753235,1.4728776216506958,0.012777566909790039
sio2,589.3,1.4585,0.0,0.0,1.8583333492279053,2.683333158493042,0.0,-0.28629472851753235,1.4732133150100708,0.014713287353515625
sio2,632.8,1.457,0.0,0.0,1.8583333492279053,2.683333158493042,0.0,-0.28629472851753235,1.474230170249939,0.01723015308380127
sio2,656.3,1.4565,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.28629472851753235,1.3861114978790283,-0.0703885555267334
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.8583333492279053,2.683333158493042,0.03333333507180214,-0.24182626605033875,1.5119739770889282,0.011973977088928223
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.8583333492279053,2.683333158493042,0.01666666753590107,-0.24182626605033875,1.5102882385253906,0.015288233757019043
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.8583333492279053,2.683333158493042,0.01666666753590107,-0.24182626605033875,1.5098321437835693,0.017832159996032715
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.8583333492279053,2.683333158493042,0.01666666753590107,-0.24182626605033875,1.5102661848068237,0.020266175270080566
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.5266666412353516,2.683333158493042,0.01666666753590107,-0.24182626605033875,1.4226393699645996,-0.0653606653213501
gaas,450.0,4.42,1.9,2.0,2.8533332347869873,2.931666612625122,1.6333333253860474,-0.009908199310302734,4.452475547790527,0.03247547149658203
gaas,500.0,4.18,1.45,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,-0.009908199310302734,4.231709003448486,0.05170917510986328
gaas,550.0,3.95,1.08,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,-0.009908199310302734,4.058392524719238,0.10839247703552246
gaas,600.0,3.78,0.74,2.0,2.8533332347869873,2.931666612625122,1.5,-0.009908199310302734,3.8623311519622803,0.08233118057250977
gaas,650.0,3.66,0.47,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,-0.009908199310302734,3.723801612854004,0.06380152702331543
gaas,700.0,3.58,0.28,2.0,3.184999942779541,3.179999828338623,1.5333333015441895,-0.009908199310302734,3.6147964000701904,0.03479647636413574
gaas,800.0,3.5,0.12,0.9424777960769378,3.5166666507720947,3.428333282470703,1.5,-0.009908199310302734,3.3770718574523926,-0.12292814254760742
gaas,900.0,3.45,0.06,0.418879020478639,3.8483331203460693,3.428333282470703,1.4666666984558105,-0.009908199310302734,3.1994218826293945,-0.2505781650543213
