material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,material_tilt,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,3.8483331203460693,3.676666498184204,0.9650972485542297,1.4482303857803345,-0.429494172334671,4.675654888153076,-0.024344921112060547
si,550.0,4.3,0.055,0.6283185307179585,3.8483331203460693,3.676666498184204,0.7539822459220886,1.4482303857803345,-0.429494172334671,4.264224052429199,-0.03577613830566406
si,650.0,3.88,0.02,0.1933287786824488,3.8483331203460693,3.676666498184204,0.5428671836853027,1.4482303857803345,-0.429494172334671,3.957019805908203,0.07701969146728516
si,850.0,3.68,0.006,0.044351896285973545,3.8483331203460693,3.676666498184204,0.4222300350666046,1.4482303857803345,-0.429494172334671,3.6968789100646973,0.016878843307495117
si,1000.0,3.57,0.001,0.006283185307179586,3.8483331203460693,3.676666498184204,0.36191147565841675,1.4482303857803345,-0.429494172334671,3.536221981048584,-0.03377795219421387
sio2,404.7,1.4696,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.465694546699524,-0.0039054155349731445
sio2,435.8,1.4667,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.4650322198867798,-0.0016677379608154297
sio2,486.1,1.4631,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.4647661447525024,0.0016661882400512695
sio2,546.1,1.4601,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.465749740600586,0.005649685859680176
sio2,589.3,1.4585,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.467334508895874,0.008834481239318848
sio2,632.8,1.457,0.0,0.0,2.5216665267944336,2.683333158493042,0.0,-0.4842025637626648,0.01539536565542221,1.4507137537002563,-0.006286263465881348
sio2,656.3,1.4565,0.0,0.0,2.5216665267944336,2.683333158493042,0.0,-0.4842025637626648,0.01539536565542221,1.4522091150283813,-0.004290938377380371
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,2.5216665267944336,2.931666612625122,0.03333333507180214,-0.45084133744239807,0.0315219946205616,1.4961087703704834,-0.0038912296295166016
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,2.5216665267944336,2.931666612625122,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.4971654415130615,0.0021654367446899414
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,2.5216665267944336,2.931666612625122,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.4995338916778564,0.007533907890319824
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,2.5216665267944336,2.683333158493042,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.4840009212493896,-0.005999088287353516
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,2.5216665267944336,2.683333158493042,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.48819100856781,0.00019097328186035156
gaas,450.0,4.42,1.9,2.5,2.5216665267944336,2.931666612625122,2.3333332538604736,-0.38687053322792053,2.110955238342285,4.356935977935791,-0.0630640983581543
gaas,500.0,4.18,1.45,2.5,2.5216665267944336,2.931666612625122,2.2083332538604736,-0.38687053322792053,2.110955238342285,4.167563438415527,-0.012436389923095703
gaas,550.0,3.95,1.08,2.5,2.5216665267944336,2.931666612625122,2.0833332538604736,-0.38687053322792053,2.110955238342285,3.988957405090332,0.03895735740661621
gaas,600.0,3.78,0.74,2.5,2.5216665267944336,2.931666612625122,2.0,-0.38687053322792053,2.110955238342285,3.843017578125,0.06301760673522949
gaas,650.0,3.66,0.47,2.5,2.5216665267944336,2.931666612625122,1.9166666269302368,-0.38687053322792053,2.110955238342285,3.685594320297241,0.025594234466552734
gaas,700.0,3.58,0.28,2.5,2.8533332347869873,3.179999828338623,1.7916666269302368,-0.38687053322792053,2.110955238342285,3.5765833854675293,-0.0034165382385253906
gaas,800.0,3.5,0.12,0.9424777960769378,3.184999942779541,3.428333282470703,1.5416666269302368,-0.38687053322792053,2.110955238342285,3.4509801864624023,-0.049019813537597656
gaas,900.0,3.45,0.06,0.418879020478639,3.184999942779541,3.428333282470703,1.375,-0.38687053322792053,2.110955238342285,3.4503679275512695,0.00036787986755371094
