material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,6.8333330154418945,5.414999485015869,1.4778051376342773,0.2013065367937088,4.714901924133301,0.014902114868164062
si,550.0,4.3,0.055,0.6283185307179585,7.164999485015869,5.414999485015869,1.1460529565811157,0.2013065367937088,4.228512763977051,-0.0714874267578125
si,650.0,3.88,0.02,0.1933287786824488,7.164999485015869,5.414999485015869,0.7841415405273438,0.2013065367937088,3.84830641746521,-0.03169369697570801
si,850.0,3.68,0.006,0.044351896285973545,7.496665954589844,5.663332939147949,0.5127078890800476,0.2013065367937088,3.7069811820983887,0.026981115341186523
si,1000.0,3.57,0.001,0.006283185307179586,7.496665954589844,5.663332939147949,0.36191147565841675,0.2013065367937088,3.6312975883483887,0.06129765510559082
sio2,404.7,1.4696,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4637681245803833,-0.0058318376541137695
sio2,435.8,1.4667,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4623594284057617,-0.004340529441833496
sio2,486.1,1.4631,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4608179330825806,-0.0022820234298706055
sio2,546.1,1.4601,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4601701498031616,7.009506225585938e-05
sio2,589.3,1.4585,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4605059623718262,0.002005934715270996
sio2,632.8,1.457,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4615228176116943,0.004522800445556641
sio2,656.3,1.4565,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4623554944992065,0.005855441093444824
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.1949999332427979,2.683333158493042,0.03333333507180214,-0.029401183128356934,1.4943186044692993,-0.005681395530700684
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.029401183128356934,1.4926329851150513,-0.0023670196533203125
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.029401183128356934,1.4921767711639404,0.0001767873764038086
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.1949999332427979,2.683333158493042,0.0,-0.029401183128356934,1.4922734498977661,0.0022734403610229492
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.1949999332427979,2.683333158493042,0.0,-0.029401183128356934,1.493598222732544,0.005598187446594238
gaas,450.0,4.42,1.9,2.0,2.8533332347869873,2.931666612625122,1.6666666269302368,-0.011231541633605957,4.477554798126221,0.05755472183227539
gaas,500.0,4.18,1.45,2.0,2.8533332347869873,2.931666612625122,1.6333333253860474,-0.011231541633605957,4.299826145172119,0.1198263168334961
gaas,550.0,3.95,1.08,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,-0.011231541633605957,4.078444004058838,0.12844395637512207
gaas,600.0,3.78,0.74,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,-0.011231541633605957,3.918898582458496,0.13889861106872559
gaas,650.0,3.66,0.47,2.0,2.8533332347869873,2.931666612625122,1.5999999046325684,-0.011231541633605957,3.7730140686035156,0.11301398277282715
gaas,700.0,3.58,0.28,2.0,3.184999942779541,3.179999828338623,1.566666603088379,-0.011231541633605957,3.623964309692383,0.043964385986328125
gaas,800.0,3.5,0.12,0.9424777960769378,3.5166666507720947,3.428333282470703,1.399999976158142,-0.011231541633605957,3.276749610900879,-0.2232503890991211
gaas,900.0,3.45,0.06,0.418879020478639,3.8483331203460693,3.676666498184204,1.2666666507720947,-0.011231541633605957,3.071549415588379,-0.3784506320953369
air,450.0,1.00028,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.000584721565246582
air,550.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,0.9990906119346619,-0.0011793971061706543
air,650.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.0005947351455688477
water,450.0,1.34,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,-0.004408717155456543
water,550.0,1.334,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,0.00459134578704834
