mu_num,rho_num,eta_num,seed_num,noise_ppm,phase,abs_err,steps,stop_reason
15480,234,7,12,0,DRIFTED,896292471033113214871,59,delta_zero
15480,234,7,12,200,DRIFTED,896292471033113214871,59,delta_zero
15480,234,7,12,500,DRIFTED,896292471033113214871,59,delta_zero
15480,234,7,14,0,DRIFTED,896292471033113214871,55,delta_zero
15480,234,7,14,200,DRIFTED,896292471033113214871,55,delta_zero
15480,234,7,14,500,DRIFTED,896292471033113214871,55,delta_zero
15480,234,7,16,0,DRIFTED,330607046083875195359,57,delta_zero
15480,234,7,16,200,DRIFTED,330607046083875195359,57,delta_zero
15480,234,7,16,500,DRIFTED,330607046083875195359,57,delta_zero
15480,234,8,12,0,DRIFTED,896292471033113214871,60,delta_zero
15480,234,8,12,200,DRIFTED,896292471033113214871,60,delta_zero
15480,234,8,12,500,DRIFTED,896292471033113214871,60,delta_zero
15480,234,8,14,0,DRIFTED,896292471033113214871,56,delta_zero
15480,234,8,14,200,DRIFTED,896292471033113214871,57,delta_zero
15480,234,8,14,500,DRIFTED,896292471033113214871,56,delta_zero
15480,234,8,16,0,DRIFTED,613449758558494205116,58,delta_zero
15480,234,8,16,200,DRIFTED,613449758558494205116,58,delta_zero
15480,234,8,16,500,DRIFTED,613449758558494205116,58,delta_zero
15480,234,9,12,0,DRIFTED,896292471033113214871,61,delta_zero
15480,234,9,12,200,DRIFTED,896292471033113214871,61,delta_zero
15480,234,9,12,500,DRIFTED,896292471033113214871,61,delta_zero
15480,234,9,14,0,DRIFTED,896292471033113214871,57,delta_zero
15480,234,9,14,200,DRIFTED,896292471033113214871,57,delta_zero
15480,234,9,14,500,DRIFTED,896292471033113214871,57,delta_zero
15480,234,9,16,0,DRIFTED,613449758558494205116,59,delta_zero
15480,234,9,16,200,DRIFTED,613449758558494205116,59,delta_zero
15480,234,9,16,500,DRIFTED,613449758558494205116,59,delta_zero
15480,235,7,12,0,DRIFTED,896292471033113214871,59,delta_zero
15480,235,7,12,200,DRIFTED,896292471033113214871,59,delta_zero
15480,235,7,12,500,DRIFTED,896292471033113214871,60,delta_zero
15480,235,7,14,0,DRIFTED,896292471033113214871,55,delta_zero
15480,235,7,14,200,DRIFTED,896292471033113214871,56,delta_zero
15480,235,7,14,500,DRIFTED,896292471033113214871,55,delta_zero
15480,235,7,16,0,DRIFTED,330607046083875195359,57,delta_zero
15480,235,7,16,200,DRIFTED,330607046083875195359,57,delta_zero
15480,235,7,16,500,DRIFTED,330607046083875195359,57,delta_zero
15480,235,8,12,0,DRIFTED,896292471033113214871,60,delta_zero
15480,235,8,12,200,DRIFTED,896292471033113214871,60,delta_zero
15480,235,8,12,500,DRIFTED,896292471033113214871,60,delta_zero
15480,235,8,14,0,DRIFTED,896292471033113214871,56,delta_zero
15480,235,8,14,200,DRIFTED,896292471033113214871,57,delta_zero
15480,235,8,14,500,DRIFTED,896292471033113214871,57,delta_zero
15480,235,8,16,0,DRIFTED,330607046083875195359,58,delta_zero
15480,235,8,16,200,DRIFTED,330607046083875195359,58,delta_zero
15480,235,8,16,500,DRIFTED,330607046083875195359,58,delta_zero
15480,235,9,12,0,DRIFTED,896292471033113214871,61,delta_zero
15480,235,9,12,200,DRIFTED,896292471033113214871,61,delta_zero
15480,235,9,12,500,DRIFTED,896292471033113214871,61,delta_zero
15480,235,9,14,0,DRIFTED,896292471033113214871,57,delta_zero
15480,235,9,14,200,DRIFTED,896292471033113214871,58,delta_zero
15480,235,9,14,500,DRIFTED,896292471033113214871,57,delta_zero
15480,235,9,16,0,DRIFTED,330607046083875195359,59,delta_zero
15480,235,9,16,200,DRIFTED,330607046083875195359,59,delta_zero
15480,235,9,16,500,DRIFTED,330607046083875195359,59,delta_zero
15480,236,7,12,0,DRIFTED,896292471033113214871,60,delta_zero
15480,236,7,12,200,DRIFTED,896292471033113214871,60,delta_zero
15480,236,7,12,500,DRIFTED,896292471033113214871,60,delta_zero
15480,236,7,14,0,DRIFTED,896292471033113214871,56,delta_zero
15480,236,7,14,200,DRIFTED,896292471033113214871,56,delta_zero
15480,236,7,14,500,DRIFTED,896292471033113214871,56,delta_zero
15480,236,7,16,0,DRIFTED,47764333609256185600,57,delta_zero
15480,236,7,16,200,DRIFTED,47764333609256185600,57,delta_zero
15480,236,7,16,500,DRIFTED,47764333609256185600,57,delta_zero
15480,236,8,12,0,DRIFTED,896292471033113214871,60,delta_zero
